comment_id	source	comments	distortion	toxicity	corrected
188	медуза	[id2685300|Максим], а, её уже заставили??ДАННОЕ СООБЩЕНИЕ (МАТЕРИАЛ) СОЗДАНО И (ИЛИ) РАСПРОСТРАНЕНО ИНОСТРАННЫМ СРЕДСТВОМ МАССОВОЙ ИНФОРМАЦИИ, ВЫПОЛНЯЮЩИМ ФУНКЦИИ ИНОСТРАННОГО АГЕНТА, И (ИЛИ) РОССИЙСКИМ ЮРИДИЧЕСКИМ ЛИЦОМ, ВЫПОЛНЯЮЩИМ ФУНКЦИИ ИНОСТРАННОГО АГЕНТА. ,,,,,	0	0	
396	медуза	разасраться с братскими народами и стать на колени перед китаем. ужас	0	0	
1014	лентач	три четыре пять шесть семь	0	0	
1101	лентач	[id182444802|Роман], уже	0	0	
197	медуза	всех с 14 февраля	0	0	
34	медуза	[id238092031|?лег], от школоты иного ответа, кроме как про мамок и не ожидалось, лахтодырка ??! Пиcдyй, учебник кури??.	1	1	[id238092031|?лег], от школоты иного ответа, кроме как про мамок и не ожидалось, лахтодырка ??! Пиздyй, учебник кури??.
2134	дождь	Я понимаю, что критики Дождя только боты. Но не понимаю, если им так не нравится Дождь, то что они здесь делают? Похоже на мазохизм	0	0	
1191	лентач	[id554549313|Влад], значит америка признает курилы японскими, ничего же не будет да?	0	0	
917	медуза	"[id1143480|Дмитрий], ну да, наша так, ""насрать на санкции"", ""д,билы 9ть"", ""мочить в сортирах"", ""нравится не нравится"""	1	0	"[id1143480|Дмитрий], ну да, наша так, ""насрать на санкции"", ""дебилы блять"", ""мочить в сортирах"", ""нравится не нравится"""
2346	дождь	опять высер какого то жида ........... это длится уже 1.5года .. всем уже пох.	0	1	
2336	дождь	Кремлеботы вакцинироваться не хотят уже, поэтому войнушку мутят	0	1	
825	медуза	[id185745872|Нурлан], все как у Свидетелей Иеговы:)	0	0	
1868	лентач	Допинг это плохо и нечестно! Осуждаю	0	0	
2192	дождь	Хохлы, вы и так вымираете , какая вам война??	0	1	
726	медуза	Первое фото прекрасно иллюстрирует состав митингующих ??	0	0	
603	медуза	[id680822766|Александр], началось про деньги народа... Государственные компании будут закупать планшеты на деньги которые государство заработало на продаже ВПК или например от продажи вагонов в другие страны. Какие деньги народа?Хватит думать что ваши налоги сильно влияют на бюджет страны.	0	0	
1158	лентач	[id573289077|Логунов], проснись маня, ты обосралась) иди подмойся	0	1	
2637	дождь	Сейчас слушаю новости. -Украина готова пойти на многие уступки, но не на отказ от НАТО. (с)	0	0	
1398	лентач	1 пункт сначала узнать нацию)) а уж потом все остальное по списку	0	0	
562	медуза		0	0	
795	медуза	[id107028412|Gleb], простите, а вы ватник или хомяк? А то не пойму, подойдет ли мне ваш прогноз	0	0	
2768	дождь	[id658179580|Сергей], если ризнают , это пожалуй на руку Украине	0	0	
1698	лентач	[id147169910|Антон], регби менее контактный и более замороченный на правила нежели гридирон	0	0	
2239	дождь	[id573289077|Логунов], помню, ты носил кучу других фамилий, тупорылый бот.	0	1	
1909	лентач	"[id655423629|Артур], теперь когда все решилось и ее пропустили дальше,она может сконцентрироваться на играх"""	0	0	
1449	лентач	[id196190334|Тёма],	0	0	
1351	лентач	Какой-то двойственностью и лицемерностью попахивает от чеченского единороса	0	0	
2039	дождь	На трибунале рядом посадят	0	0	
1369	лентач	Бандиты: *угрожают жизни представителям власти*  ФСБ: *пох ваще*   Школьники: *взрывают дом в Майнкрафте*  ФСБ: *ну это уже край*	0	0	
920	медуза	[id496882193|Александр], если не понимают - то снять штаны и бегать по кругу	0	0	
2757	дождь	[id675792975|Ii], А предложения для НАТО на танке приехали?	0	0	
1237	лентач	[id287242533|Данил], ну я сначала тоже охренел	0	0	
978	медуза	[id155849408|Олег], обычная стандартная буханка?????	0	0	
2169	дождь	[id51947755|Михаил], в тюрьму ему надо?	0	0	
2539	дождь	[id14404398|Виктор], 15 ку тебе дадут молодец	0	0	
